movie;released_year;running_time;budget;box_office;file
Harry Potter and the Philosopher's Stone;2001;152;125000000;1002000000;hp1.csv
Harry Potter and the Chamber of Secrets;2002;161;100000000;880300000;hp2.csv
Harry Potter and the Prisoner of Azkaban;2004;142;130000000;796700000;hp3.csv
Harry Potter and the Goblet of Fire;2005;157;150000000;896400000;hp4.csv
Harry Potter and the Order of the Phoenix;2007;138;150000000;942000000;hp5.csv
Harry Potter and the Half-Blood Prince;2009;153;250000000;943200000;hp6.csv
Harry Potter and the Deathly Hallows Part 1;2010;146;200000000;976900000;hp7.csv
Harry Potter and the Deathly Hallows Part 2;2011;130;250000000;1342000000;hp8.csv
